customer_id,customer_region,customer_segment
1,West,Corporate
2,Midwest,Corporate
3,Midwest,Small Business
4,East,Corporate
5,East,Corporate
6,Midwest,Corporate
7,South,Consumer
8,Midwest,Corporate
9,East,Small Business
10,West,Small Business
11,West,Corporate
12,South,Corporate
13,Midwest,Corporate
14,West,Small Business
15,Midwest,Small Business
16,East,Consumer
17,West,Consumer
18,South,Consumer
19,East,Small Business
20,South,Consumer
21,East,Corporate
22,West,Corporate
23,South,Small Business
24,South,Consumer
25,East,Corporate
26,South,Small Business
27,East,Consumer
28,East,Corporate
29,East,Consumer
30,East,Small Business
31,West,Consumer
32,East,Small Business
33,Midwest,Consumer
34,South,Corporate
35,Midwest,Small Business
36,West,Small Business
37,Midwest,Small Business
38,South,Consumer
39,Midwest,Consumer
40,West,Corporate
41,East,Small Business
42,Midwest,Small Business
43,West,Consumer
44,West,Consumer
45,South,Corporate
46,South,Corporate
47,Midwest,Consumer
48,East,Small Business
49,West,Corporate
50,Midwest,Consumer
51,West,Consumer
52,West,Small Business
53,East,Consumer
54,East,Consumer
55,Midwest,Corporate
56,East,Consumer
57,East,Consumer
58,Midwest,Corporate
59,East,Small Business
60,South,Small Business
61,West,Corporate
62,West,Corporate
63,West,Small Business
64,West,Small Business
65,Midwest,Small Business
66,West,Small Business
67,West,Small Business
68,West,Corporate
69,West,Consumer
70,South,Small Business
71,West,Small Business
72,South,Consumer
73,Midwest,Consumer
74,East,Consumer
75,West,Consumer
76,East,Consumer
77,East,Consumer
78,Midwest,Corporate
79,East,Consumer
80,South,Consumer
81,East,Corporate
82,East,Consumer
83,East,Small Business
84,West,Small Business
85,West,Consumer
86,South,Corporate
87,South,Small Business
88,West,Corporate
89,South,Small Business
90,West,Consumer
91,Midwest,Corporate
92,East,Corporate
93,East,Corporate
94,South,Small Business
95,West,Small Business
96,West,Small Business
97,South,Consumer
98,West,Small Business
99,Midwest,Consumer
100,East,Corporate
101,South,Corporate
102,South,Consumer
103,West,Small Business
104,South,Consumer
105,Midwest,Corporate
106,West,Corporate
107,West,Consumer
108,West,Small Business
109,West,Small Business
110,Midwest,Consumer
111,West,Consumer
112,South,Small Business
113,Midwest,Corporate
114,East,Consumer
115,East,Small Business
116,South,Small Business
117,South,Corporate
118,Midwest,Corporate
119,East,Corporate
120,East,Corporate
121,East,Corporate
122,East,Consumer
123,East,Small Business
124,West,Consumer
125,South,Consumer
126,West,Consumer
127,East,Consumer
128,Midwest,Consumer
129,Midwest,Corporate
130,East,Corporate
131,East,Small Business
132,Midwest,Consumer
133,West,Small Business
134,West,Corporate
135,East,Corporate
136,West,Corporate
137,Midwest,Consumer
138,West,Consumer
139,East,Corporate
140,Midwest,Small Business
141,West,Small Business
142,South,Corporate
143,Midwest,Small Business
144,Midwest,Corporate
145,South,Small Business
146,South,Corporate
147,Midwest,Small Business
148,South,Consumer
149,East,Corporate
150,East,Corporate
151,East,Small Business
152,Midwest,Corporate
153,South,Corporate
154,South,Corporate
155,West,Consumer
156,West,Consumer
157,South,Small Business
158,South,Consumer
159,South,Small Business
160,Midwest,Consumer
161,South,Small Business
162,West,Consumer
163,Midwest,Consumer
164,South,Small Business
165,West,Corporate
166,Midwest,Corporate
167,South,Consumer
168,South,Small Business
169,South,Corporate
170,Midwest,Small Business
171,West,Corporate
172,West,Small Business
173,East,Consumer
174,South,Small Business
175,East,Corporate
176,East,Consumer
177,West,Small Business
178,Midwest,Corporate
179,Midwest,Consumer
180,West,Small Business
181,Midwest,Corporate
182,East,Small Business
183,South,Small Business
184,West,Consumer
185,South,Consumer
186,Midwest,Corporate
187,South,Consumer
188,Midwest,Corporate
189,Midwest,Small Business
190,East,Small Business
191,Midwest,Corporate
192,East,Small Business
193,East,Consumer
194,East,Small Business
195,West,Consumer
196,West,Corporate
197,Midwest,Corporate
198,East,Small Business
199,West,Small Business
200,East,Consumer
201,South,Consumer
202,South,Small Business
203,South,Small Business
204,Midwest,Corporate
205,East,Corporate
206,South,Corporate
207,West,Small Business
208,South,Small Business
209,South,Small Business
210,South,Corporate
211,Midwest,Small Business
212,West,Consumer
213,East,Small Business
214,West,Small Business
215,East,Small Business
216,Midwest,Small Business
217,Midwest,Small Business
218,Midwest,Consumer
219,Midwest,Consumer
220,East,Small Business
221,South,Corporate
222,East,Small Business
223,West,Small Business
224,Midwest,Small Business
225,Midwest,Corporate
226,West,Corporate
227,East,Corporate
228,South,Consumer
229,South,Corporate
230,West,Consumer
231,South,Consumer
232,East,Corporate
233,East,Corporate
234,West,Corporate
235,East,Consumer
236,Midwest,Small Business
237,West,Corporate
238,East,Corporate
239,West,Corporate
240,South,Consumer
241,East,Consumer
242,Midwest,Small Business
243,East,Corporate
244,West,Consumer
245,West,Small Business
246,East,Corporate
247,Midwest,Consumer
248,Midwest,Corporate
249,Midwest,Corporate
250,West,Consumer
251,East,Consumer
252,South,Consumer
253,West,Corporate
254,Midwest,Corporate
255,East,Small Business
256,Midwest,Corporate
257,South,Consumer
258,Midwest,Corporate
259,Midwest,Small Business
260,South,Small Business
261,East,Consumer
262,West,Consumer
263,East,Small Business
264,South,Small Business
265,Midwest,Small Business
266,East,Consumer
267,West,Small Business
268,South,Small Business
269,East,Consumer
270,West,Corporate
271,South,Corporate
272,West,Small Business
273,South,Corporate
274,Midwest,Corporate
275,East,Corporate
276,West,Corporate
277,South,Small Business
278,West,Corporate
279,West,Corporate
280,East,Consumer
281,Midwest,Small Business
282,West,Consumer
283,South,Consumer
284,South,Small Business
285,Midwest,Corporate
286,South,Consumer
287,Midwest,Small Business
288,South,Corporate
289,East,Small Business
290,West,Consumer
291,East,Corporate
292,West,Corporate
293,West,Small Business
294,West,Corporate
295,East,Consumer
296,West,Consumer
