order_id,customer_id,product_id,warehouse_id,order_date,quantity,order_priority,unit_price,supplier_id,sales_amount
100001,2094,110,4,2024-11-05,3,Medium,214.94,61,644.82
100002,2143,475,12,2024-10-20,2,Low,360.83,33,721.66
100003,4002,367,3,2024-01-09,9,Medium,177.62,11,1598.58
100004,6208,100,7,2024-08-17,9,High,272.69,39,2454.21
100005,6557,200,8,2024-04-09,2,High,146.51,48,293.02
100006,7811,211,12,2024-03-10,2,Medium,317.67,61,635.34
100007,3081,221,5,2024-02-23,7,Low,191.53,25,1340.71
100008,4555,403,3,2024-12-15,1,Medium,217.82,1,217.82
100009,5835,325,4,2024-07-24,3,High,78.49,12,235.47
100010,1433,150,10,2024-11-29,9,Low,427.57,14,3848.13
100011,2518,163,6,2024-07-24,8,Medium,181.79,25,1454.32
100012,2858,394,12,2024-03-22,2,High,437.34,21,874.68
100013,506,143,5,2024-04-05,5,Medium,312.88,48,1564.4
100014,5806,258,4,2024-03-30,3,Low,289.68,67,869.04
100015,1097,245,3,2024-01-31,9,Medium,300.86,62,2707.74
100016,4180,490,6,2024-08-08,9,Medium,429.29,15,3863.61
100017,4155,150,7,2024-03-18,5,High,427.57,14,2137.85
100018,1045,112,2,2024-03-04,3,High,434.37,74,1303.11
100019,5578,99,6,2024-10-31,2,Medium,352.1,25,704.2
100020,7062,103,3,2024-06-08,6,Medium,345.52,44,2073.12
100021,2205,211,10,2024-07-09,4,Low,317.67,61,1270.68
100022,3903,495,8,2024-08-27,5,Medium,153.64,67,768.2
100023,1353,12,2,2024-11-14,2,Low,290.98,67,581.96
100024,1597,381,5,2024-06-28,8,Low,133.38,15,1067.04
100025,576,226,8,2024-06-15,2,Low,376.26,72,752.52
100026,6981,446,9,2024-03-16,6,Low,498.47,60,2990.82
100027,680,301,7,2024-02-17,2,Medium,174.94,13,349.88
100028,4299,442,9,2024-05-10,9,Medium,480.92,17,4328.28
100029,3713,148,9,2024-08-30,5,Low,388.44,59,1942.2
100030,3829,179,8,2024-12-07,7,Critical,234.98,29,1644.86
100031,1130,7,7,2024-01-26,7,High,453.64,47,3175.48
100032,3905,152,6,2024-10-17,1,Critical,284.86,24,284.86
100033,3194,323,12,2024-08-02,2,Low,291.49,78,582.98
100034,318,70,11,2024-12-24,6,Critical,485.24,29,2911.44
100035,5302,353,3,2024-01-04,8,Low,78.24,10,625.92
100036,5735,53,8,2024-10-08,1,Medium,64.49,12,64.49
100037,7484,162,3,2024-08-16,1,Medium,17.13,4,17.13
