order_id,warehouse_id,order_date,order_priority,planned_ship_date,is_delayed,delay_days,actual_ship_date,shipping_cost
100001,4,2024-11-05,Medium,2024-11-07,1,5,2024-11-12,44.11
100002,12,2024-10-20,Low,2024-10-22,1,9,2024-10-31,61.16
100003,3,2024-01-09,Medium,2024-01-11,1,6,2024-01-17,51.53
100004,7,2024-08-17,High,2024-08-21,0,0,2024-08-21,54.02
100005,8,2024-04-09,High,2024-04-12,0,0,2024-04-12,54.64
100006,12,2024-03-10,Medium,2024-03-12,0,0,2024-03-12,9.79
100007,5,2024-02-23,Low,2024-02-24,1,8,2024-03-03,48.3
100008,3,2024-12-15,Medium,2024-12-17,1,1,2024-12-18,23.16
100009,4,2024-07-24,High,2024-07-27,0,0,2024-07-27,58.51
100010,10,2024-11-29,Low,2024-12-03,1,8,2024-12-11,73.52
100011,6,2024-07-24,Medium,2024-07-28,0,0,2024-07-28,28.88
100012,12,2024-03-22,High,2024-03-25,1,2,2024-03-27,68.06
100013,5,2024-04-05,Medium,2024-04-08,0,0,2024-04-08,50.5
100014,4,2024-03-30,Low,2024-04-02,1,6,2024-04-08,33.43
100015,3,2024-01-31,Medium,2024-02-04,1,5,2024-02-09,78.25
100016,6,2024-08-08,Medium,2024-08-09,0,0,2024-08-09,31.32
100017,7,2024-03-18,High,2024-03-19,0,0,2024-03-19,58.42
100018,2,2024-03-04,High,2024-03-06,0,0,2024-03-06,68.09
100019,6,2024-10-31,Medium,2024-11-04,1,4,2024-11-08,67.21
100020,3,2024-06-08,Medium,2024-06-11,1,6,2024-06-17,64.04
100021,10,2024-07-09,Low,2024-07-13,0,0,2024-07-13,62.74
100022,8,2024-08-27,Medium,2024-08-28,0,0,2024-08-28,6.23
100023,2,2024-11-14,Low,2024-11-18,1,7,2024-11-25,39.43
100024,5,2024-06-28,Low,2024-06-29,0,0,2024-06-29,6.96
100025,8,2024-06-15,Low,2024-06-17,0,0,2024-06-17,21.86
100026,9,2024-03-16,Low,2024-03-18,0,0,2024-03-18,46.0
100027,7,2024-02-17,Medium,2024-02-21,0,0,2024-02-21,24.74
100028,9,2024-05-10,Medium,2024-05-14,0,0,2024-05-14,15.76
100029,9,2024-08-30,Low,2024-08-31,0,0,2024-08-31,71.85
100030,8,2024-12-07,Critical,2024-12-09,0,0,2024-12-09,10.44
100031,7,2024-01-26,High,2024-01-29,0,0,2024-01-29,67.58
100032,6,2024-10-17,Critical,2024-10-21,1,4,2024-10-25,87.8
100033,12,2024-08-02,Low,2024-08-04,0,0,2024-08-04,25.75
100034,11,2024-12-24,Critical,2024-12-27,0,0,2024-12-27,45.03
100035,3,2024-01-04,Low,2024-01-08,1,8,2024-01-16,117.71
100036,8,2024-10-08,Medium,2024-10-11,1,5,2024-10-16,63.96
100037,3,2024-08-16,Medium,2024-08-19,0,0,2024-08-19,36.69
100038,11,2024-12-28,Medium,2024-12-31,0,0,2024-12-31,32.97
100039,9,2024-06-29,Medium,2024-07-02,0,0,2024-07-02,72.73
100040,9,2024-08-28,Medium,2024-09-01,0,0,2024-09-01,46.62
100041,10,2024-06-02,Low,2024-06-06,1,6,2024-06-12,55.41
100042,10,2024-12-11,Low,2024-12-13,1,5,2024-12-18,64.49
100043,9,2024-08-09,Low,2024-08-13,0,0,2024-08-13,32.81
100044,4,2024-04-24,Low,2024-04-25,0,0,2024-04-25,70.17
100045,9,2024-06-05,Low,2024-06-09,0,0,2024-06-09,13.09
100046,12,2024-04-05,Medium,2024-04-06,0,0,2024-04-06,58.74
100047,2,2024-03-01,High,2024-03-02,0,0,2024-03-02,31.0
100048,1,2024-05-21,Medium,2024-05-23,0,0,2024-05-23,30.09
100049,8,2024-08-08,Medium,2024-08-12,1,5,2024-08-17,40.52
100050,6,2024-06-29,Medium,2024-06-30,0,0,2024-06-30,18.78
100051,11,2024-06-06,Medium,2024-06-10,1,5,2024-06-15,83.8
100052,10,2024-01-22,Medium,2024-01-26,0,0,2024-01-26,50.96
100053,9,2024-04-03,Low,2024-04-06,0,0,2024-04-06,30.28
100054,9,2024-05-13,High,2024-05-16,0,0,2024-05-16,38.41
100055,3,2024-09-17,High,2024-09-18,1,4,2024-09-22,16.22
100056,2,2024-02-10,High,2024-02-14,1,8,2024-02-22,101.82
100057,7,2024-09-09,Medium,2024-09-10,0,0,2024-09-10,52.25
100058,5,2024-04-09,Medium,2024-04-13,0,0,2024-04-13,43.5
100059,10,2024-03-26,Low,2024-03-27,0,0,2024-03-27,42.49
100060,6,2024-10-29,Medium,2024-11-01,0,0,2024-11-01,9.61
100061,5,2024-10-05,Medium,2024-10-08,0,0,2024-10-08,50.76
100062,4,2024-11-28,Low,2024-12-02,0,0,2024-12-02,14.25
100063,1,2024-08-17,Low,2024-08-21,0,0,2024-08-21,57.66
100064,4,2024-06-29,Low,2024-07-01,1,4,2024-07-05,53.12
100065,10,2024-06-16,Medium,2024-06-18,0,0,2024-06-18,70.59
100066,3,2024-12-29,Low,2025-01-02,1,4,2025-01-06,61.99
100067,3,2024-12-01,Medium,2024-12-05,0,0,2024-12-05,35.55
100068,5,2024-01-14,Medium,2024-01-16,0,0,2024-01-16,75.39
100069,1,2024-10-04,Low,2024-10-07,1,8,2024-10-15,86.41
100070,11,2024-11-19,Low,2024-11-22,0,0,2024-11-22,23.29
100071,6,2024-08-26,Low,2024-08-28,1,4,2024-09-01,77.89
100072,2,2024-03-21,Low,2024-03-23,0,0,2024-03-23,52.73
